,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
99,Save Yourselves!,2020,R,02 Oct 2020,93 min,"Adventure, Comedy, Sci-Fi","Alex Huston Fischer, Eleanor Wilson","Alex Huston Fischer, Eleanor Wilson","Sunita Mani, John Reynolds, Ben Sinclair","A young Brooklyn couple heads to an upstate cabin to unplug from their phones and reconnect with each other. Blissfully unaware of their surroundings, they are left to their own devices as the planet falls under attack.",English,https://m.media-amazon.com/images/M/MV5BNjZhYzkwMzQtOWMyZi00NTJmLWFjNGEtYzAzNzJhNDZhMmQ2XkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_SX300.jpg,67,5.8,"$301,162",N/A
100,The Informer,2019,R,30 Aug 2019,113 min,"Action, Crime, Drama",Andrea Di Stefano,"Matt Cook, Rowan Joffe, Andrea Di Stefano","Joel Kinnaman, Rosamund Pike, Common",An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,"English, Polish, Spanish",https://m.media-amazon.com/images/M/MV5BOTlkNWZhZGQtNjIxNC00OWU5LTg5NjEtY2EyMDY2NmQ2NGRhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,61,6.6,"$300,460",N/A
101,Il traditore,2019,R,12 May 2020,153 min,"Biography, Crime, Drama",Marco Bellocchio,"Marco Bellocchio, Valia Santella, Ludovica Rampoldi","Pierfrancesco Favino, Maria Fernanda Cândido, Fabrizio Ferracane","The real life of Tommaso Buscetta, the so-called ""boss of the two worlds,"" the first mafia informant in Sicily in the 1980s.","Italian, Sicilian, Portuguese, English",https://m.media-amazon.com/images/M/MV5BMzgwMGQwZDAtZTNmOC00NDQ3LTlmZTUtYWQwMWM2ZWQyOTBhXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_SX300.jpg,64,7.1,"$296,027",N/A
102,Created Equal: Clarence Thomas in His Own Words,2020,PG-13,06 Oct 2020,116 min,Documentary,Michael Pack,Michael Pack,"Clarence Thomas, Joe Biden, Anita Hill","A controversial figure, loved by some, reviled by others, few know much more than a few headlines and the recollections of his contentious confirmation battle with Anita Hill. A story truly and fully, without cover-ups or distortions",English,https://m.media-amazon.com/images/M/MV5BNDRhZmMzODAtOGQxMi00OGQ5LWJkNGUtOWZlMDNlNGViYWYwXkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_SX300.jpg,41,8.2,"$282,149",N/A
103,Fatman,2020,R,24 Nov 2020,100 min,"Action, Comedy, Fantasy","Eshom Nelms, Ian Nelms","Ian Nelms, Eshom Nelms","Mel Gibson, Walton Goggins, Marianne Jean-Baptiste","A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",English,https://m.media-amazon.com/images/M/MV5BZjk1NDc4OTEtY2M3OS00M2E3LTk4YTgtYjczMzI1OWQ1ODVlXkEyXkFqcGdeQXVyNzA0OTM3NQ@@._V1_SX300.jpg,40,5.9,"$278,378",N/A
104,Mafia Inc,2019,N/A,25 Aug 2020,143 min,"Crime, Drama",Daniel Grou,"André Cédilot, André Noël, Sylvain Guy","Sergio Castellitto, Marc-André Grondin, Gilbert Sicotte","The Gamache, tailors from father to son, have been dressing the Mafia family Paternò for three generation. Vince works on behalf of Frank the godfather with his eldest son Giaco. Vince seeks to earn his stripes by impressing the godf","French, English, Italian",https://m.media-amazon.com/images/M/MV5BNWFiN2ViZDItYjBjMi00YzlhLTg3OTAtYzRmZDYyZWZjZjZjXkEyXkFqcGdeQXVyMjk4MTEyMw@@._V1_SX300.jpg,64,6.9,"$889,863",N/A
105,The Climb,2019,R,13 Nov 2020,98 min,"Comedy, Drama",Michael Angelo Covino,"Michael Angelo Covino, Kyle Marvin","Kyle Marvin, Michael Angelo Covino, Gayle Rankin",A look at the friendship between two guys that spans over many years.,"English, French",https://m.media-amazon.com/images/M/MV5BZDczYjkxYzMtMGM2Yy00MDg0LWIwZGQtMjYwZWEzNDFmMzY5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,82,6.7,"$234,429","Adastra Films, Watch This Ready, Topic Studios"
106,The Secrets We Keep,2020,R,16 Sep 2020,97 min,"Drama, Thriller",Yuval Adler,"Ryan Covington, Yuval Adler","Noomi Rapace, Joel Kinnaman, Chris Messina","In post-WWII America, a woman, rebuilding her life in the suburbs with her husband, kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her.",English,https://m.media-amazon.com/images/M/MV5BOTdmZTk2YmItMzgzMy00MWRhLTg4MzctNTJmYzM5MzE0NmM2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,48,5.8,"$207,928",N/A
107,Jiang Ziya,2020,TV-PG,01 Oct 2020,110 min,"Animation, Action, Adventure","Teng Cheng, Li Wei",N/A,"Guangtao Jiang, Nazeeh Tarsha, Youji Wang","Banished to the mortal world, a warrior has to slay a demon to return to the heavenly realm and become a god.",Mandarin,https://m.media-amazon.com/images/M/MV5BMDBkNjNmMzYtMjkyNi00OTY5LWFhNWItOGVmNzMwOGE3NjRmXkEyXkFqcGdeQXVyMTA0MTYxNzA5._V1_SX300.jpg,N/A,6.6,"$214,670",N/A
108,Wild Mountain Thyme,2020,PG-13,11 Dec 2020,102 min,"Comedy, Drama, Romance",John Patrick Shanley,John Patrick Shanley,"Emily Blunt, Jamie Dornan, Jon Hamm",A pair of star-crossed lovers in Ireland get caught up in their family's land dispute.,English,https://m.media-amazon.com/images/M/MV5BYzhhOTdiYzAtMDJiYS00NDA0LWJmN2EtODljMDJmNDMxZDk3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,42,5.7,"$213,440",N/A
109,Always,1989,PG,22 Dec 1989,122 min,"Drama, Fantasy, Romance",Steven Spielberg,"Jerry Belson, Dalton Trumbo, Frederick Hazlitt Brennan","Richard Dreyfuss, Holly Hunter, Brad Johnson",The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.,English,https://m.media-amazon.com/images/M/MV5BYjcwODQ0YmItZGUwNC00MDYxLWIyZmItMzQ5YTJlNzZlNzE0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,50,6.4,"$43,858,790",N/A
110,Dylda,2019,N/A,29 Jan 2020,130 min,"Drama, War",Kantemir Balagov,"Kantemir Balagov, Aleksandr Terekhov","Viktoria Miroshnichenko, Vasilisa Perelygina, Andrey Bykov","1945, Leningrad. WWII has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Two young women search for meaning and hope in the struggle to rebuild their lives amongst the rui",Russian,https://m.media-amazon.com/images/M/MV5BZDcxZDU1NWEtMDU4NC00ZTJmLWE1NWUtM2Y2ZjEyZjliZTUzXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,84,7.1,"$196,258",N/A
111,The Doors: Break On Thru - A Celebration Of Ray Manzarek,2018,Not Rated,28 Apr 2018,67 min,Documentary,Justin Kreutzmann,N/A,"Emily Armstrong, Exene Cervenka, Phil Chen, Robert DeLeo","A concert documentary from a 2016 all-star performance in Los Angeles, which John Densmore and Robby Krieger, the two surviving members of The Doors, developed to celebrate what would have been band member Manzarek's 70th birthday.",N/A,https://m.media-amazon.com/images/M/MV5BY2I3ZmM4YjctY2VmMy00ZGUwLWE4MmUtYzY5YWUwNzAyNTIxXkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX300.jpg,N/A,7.9,"$190,160",N/A
112,The Wolf of Snow Hollow,2020,R,09 Oct 2020,83 min,"Comedy, Horror, Mystery",Jim Cummings,Jim Cummings,"Jim Cummings, Riki Lindhome, Robert Forster","Terror grips a small mountain town as bodies are discovered after each full moon. Losing sleep, raising a teenage daughter, and caring for his ailing father, officer Marshall struggles to remind himself there's no such thing as werew",English,https://m.media-amazon.com/images/M/MV5BOWZlMDBiMmItMWU0Ny00MGIzLWI1NTQtZDEwMjM0MzBiYjhkXkEyXkFqcGdeQXVyMzIxMjMyODY@._V1_SX300.jpg,67,6.2,"$185,026",N/A
113,Come Away,2020,PG,13 Nov 2020,94 min,"Adventure, Drama, Fantasy",Brenda Chapman,Marissa Kate Goodhill,"Gugu Mbatha-Raw, Carter Thomas, Ava Fillery","When their eldest brother dies, Peter and Alice seek to save their parents from despair until they are forced to choose between home and imagination, setting the stage for their iconic journeys into Wonderland and Neverland.",English,https://m.media-amazon.com/images/M/MV5BYTU1MDIzZjUtNWRiOC00MjAxLWIwMWItYjFlOThlN2I0M2Q4XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,40,5.8,"$184,477",N/A
114,And Then We Danced,2019,Not Rated,07 Feb 2020,113 min,"Drama, Romance",Levan Akin,Levan Akin,"Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili","A passionate coming-of-age tale set amidst the conservative confines of modern Tbilisi, the film follows Merab, a competitive dancer who is thrown off balance by the arrival of Irakli, a fellow male dancer with a rebellious streak.",Georgian,https://m.media-amazon.com/images/M/MV5BMDJhYzE2MTUtYzBhZC00ZWRhLTkwNDctN2YxNGU3NzM2ZTE4XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,68,7.7,"$177,262","French Quarter Film, Takes Film"
115,Follow Me,2020,R,18 Sep 2020,91 min,"Adventure, Horror, Mystery",Will Wernick,Will Wernick,"Keegan Allen, Holland Roden, Denzel Whitaker","A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger.",English,https://m.media-amazon.com/images/M/MV5BYjU4ZTlkN2MtOGJlNS00ZWE1LWFmYjUtNTY3MDBhZjgwZjQ3XkEyXkFqcGdeQXVyMjA1MzQyNDE@._V1_SX300.jpg,N/A,5.4,"$167,962",N/A
116,Extra Ordinary,2019,R,06 Mar 2020,94 min,"Comedy, Fantasy, Horror","Mike Ahern, Enda Loughman","Demian Fox, Maeve Higgins, Mike Ahern","Maeve Higgins, Barry Ward, Will Forte","Rose, a mostly sweet and lonely Irish driving instructor, must use her supernatural talents to save the daughter of Martin (also mostly sweet and lonely) from a washed-up rock star who is using her in a Satanic pact to reignite his f",English,https://m.media-amazon.com/images/M/MV5BOTZiMzZiNTktZGRkNi00Yzc4LWEyZTYtMTEzOGZjOTFkNWZkXkEyXkFqcGdeQXVyMTI4Mjg4MjA@._V1_SX300.jpg,72,6.5,"$164,346",N/A
117,Ammonite,2020,R,13 Nov 2020,120 min,"Biography, Drama, History",Francis Lee,Francis Lee,"Kate Winslet, Saoirse Ronan, Gemma Jones","1840s England, acclaimed but overlooked fossil hunter Mary Anning and a young woman sent to convalesce by the sea develop an intense relationship, altering both of their lives forever.","English, French",https://m.media-amazon.com/images/M/MV5BZmM3ZGZlMWUtMjY1OS00NjBkLWE4MjQtODJkMmQ1MzdjYzhkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,72,6.5,"$160,930",N/A
118,A Call to Spy,2019,PG-13,02 Oct 2020,123 min,"Biography, Crime, Drama",Lydia Dean Pilcher,Sarah Megan Thomas,"Sarah Megan Thomas, Stana Katic, Radhika Apte","In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.",English,https://m.media-amazon.com/images/M/MV5BMTk2ZjJiZTItYTJiOC00YmIyLWI2MmYtZWJkZGMzNDE4NjU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,65,6.6,"$159,014",N/A
119,The Dark and the Wicked,2020,Not Rated,06 Nov 2020,95 min,Horror,Bryan Bertino,Bryan Bertino,"Marin Ireland, Michael Abbott Jr., Julie Oliver-Touchstone","On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",English,https://m.media-amazon.com/images/M/MV5BYjMzZDBkMWItMzM4MC00YzNmLTgzNzctMmUwOGYyZTA5MDZlXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,72,6.1,"$157,252",N/A
120,Shadow in the Cloud,2020,R,01 Jan 2021,83 min,"Action, Horror, War",Roseanne Liang,"Max Landis, Roseanne Liang","Chloë Grace Moretz, Nick Robinson, Beulah Koale",A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,English,https://m.media-amazon.com/images/M/MV5BNWNiNGQyMzUtN2VmMi00NDI2LWI3NGUtMTEwZGQxYzFjZTNjXkEyXkFqcGdeQXVyMTEyNDk3MjY3._V1_SX300.jpg,66,4.9,"$156,932",N/A
121,Heaven,2002,R,21 Feb 2002,97 min,"Crime, Drama, Romance",Tom Tykwer,"Krzysztof Kieslowski, Krzysztof Piesiewicz","Cate Blanchett, Giovanni Ribisi, Remo Girone","A woman takes the law into her own hands after police ignore her pleas to arrest the man responsible for her husband's death, and finds herself not only under arrest for murder but falling in love with an officer.","Italian, English",https://m.media-amazon.com/images/M/MV5BMjdjOTMyZGEtYjZhNi00ZTE1LWExYTUtNzI1NzZlY2ExMzVkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,68,7.0,"$784,399",N/A
122,The Burnt Orange Heresy,2019,R,06 Mar 2020,99 min,"Action, Drama, Thriller",Giuseppe Capotondi,"Charles Willeford, Scott B. Smith","Claes Bang, Elizabeth Debicki, Mick Jagger","Hired to steal a rare painting from one of the most enigmatic painters of all time, an ambitious art dealer becomes consumed by his own greed and insecurity as the operation spins out of control.",English,https://m.media-amazon.com/images/M/MV5BZWFiN2I4ZTQtZDA2NC00YzE3LWFhMzgtZWY0MGIzNjdiZmY3XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_SX300.jpg,57,6.1,"$144,201",N/A
123,Wendy,2020,PG-13,17 Apr 2020,111 min,"Drama, Fantasy",Benh Zeitlin,"Benh Zeitlin, Eliza Zeitlin","Devin France, Yashua Mack, Gage Naquin","Lost on a mysterious island where aging and time have come unglued, Wendy must fight to save her family, her freedom, and the joyous spirit of youth from the deadly peril of growing up.",English,https://m.media-amazon.com/images/M/MV5BN2NlODlkZWEtN2U2OC00MTI4LTlhMTEtZTM0MDIyODZiMDhhXkEyXkFqcGdeQXVyMTA1NTA1MTI4._V1_SX300.jpg,55,5.7,"$143,518",N/A
124,Incitement,2019,N/A,31 Jan 2020,123 min,Thriller,Yaron Zilberman,"Yair Hizmi, Ron Leshem, Yaron Zilberman","Yehuda Nahari Halevi, Amitay Yaish Ben Ousilio, Anat Ravnitzki","Details the year leading to the assassination of Israel's Prime Minister, Yitzhak Rabin (1922-1995), from the point of view of the assassin.",Hebrew,https://m.media-amazon.com/images/M/MV5BNzYxZTM1MTAtNjQ3NS00Mzc5LTlmM2ItZDljNzBiOTQ1YWU0XkEyXkFqcGdeQXVyOTM5NzYzNTU@._V1_SX300.jpg,77,7.0,"$140,306",N/A
125,Archive,2020,TV-MA,10 Jul 2020,109 min,"Drama, Mystery, Sci-Fi",Gavin Rothery,Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra",2038: George Almore is working on a true human-equivalent AI. His latest prototype is almost ready. This sensitive phase is also the riskiest. Especially as he has a goal that must be hidden at all costs.,"English, Japanese, French",https://m.media-amazon.com/images/M/MV5BMzFkNTRiMzYtODM2MS00YWQ2LThkNTUtMDE1Y2E2YjAwYTUxXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,67,6.4,"$139,593",N/A
126,Burden,2018,R,09 Jun 2020,117 min,"Biography, Drama, History",Andrew Heckler,Andrew Heckler,"Garrett Hedlund, Andrea Riseborough, Forest Whitaker","When a museum celebrating the Ku Klux Klan opens in a South Carolina town, the idealistic Reverend Kennedy strives to keep the peace even as he urges the group's Grand Dragon to disavow his racist past.",English,https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_SX300.jpg,57,6.6,"$139,270",N/A
127,Lupin III: The First,2019,Not Rated,18 Oct 2020,93 min,"Animation, Action, Adventure",Takashi Yamazaki,"Monkey Punch, Takashi Yamazaki, Maurice Leblanc","Kan'ichi Kurita, Kiyoshi Kobayashi, Daisuke Namikawa","Lupin III goes on a grand adventure to uncover the secrets of the Bresson Diary, which is tied to the legacy of his famous grandfather.",Japanese,https://m.media-amazon.com/images/M/MV5BOGIyMmRiZWItZTQ1Yi00OGQzLTk5YzItOGYzOTQ0NGI5MDBiXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,63,6.9,"$136,368",N/A
128,The Nest,2020,R,18 Sep 2020,107 min,"Drama, Romance",Sean Durkin,Sean Durkin,"Jude Law, Carrie Coon, Oona Roche",Life for an entrepreneur and his American family begins to take a twisted turn after moving into an English country manor.,English,https://m.media-amazon.com/images/M/MV5BMGRjYzI5ZGUtZGJjYy00ZTYyLWJlNzItNWM0MDc0ZDVmM2IwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,80,6.3,"$137,886",N/A
129,Beneath Us,2019,R,06 Mar 2020,86 min,"Horror, Thriller",Max Pachman,"Mark Mavrothalasitis, Max Pachman","Lynn Collins, Rigo Sanchez, Josue Aguirre",The American Dream becomes a nightmare for a group of undocumented day laborers hired by a wealthy couple. What they expect to be their biggest payday turns into a terrifying fight for survival.,"English, Spanish",https://m.media-amazon.com/images/M/MV5BNGJmMDAzZWYtOTA3Ni00MTY2LTk2MjYtY2U2YjE1OGI5ZWE1XkEyXkFqcGdeQXVyMTg2MDM2NjI@._V1_SX300.jpg,46,5.3,"$137,260",N/A
130,The Times of Bill Cunningham,2018,N/A,11 Oct 2018,74 min,Documentary,Mark Bozek,Mark Bozek,"Bill Cunningham, Sarah Jessica Parker",A new feature film documentary about legendary NYTimes photographer Bill Cunningham.,English,https://m.media-amazon.com/images/M/MV5BODkyOTg0NDctOGRkYS00ZGZhLWE2YjAtOGNlOTVkZDhjY2ZjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,69,6.8,"$134,288",N/A
131,Saint Frances,2019,N/A,28 Feb 2020,101 min,"Comedy, Drama",Alex Thompson,Kelly O'Sullivan,"Kelly O'Sullivan, Ramona Edith Williams, Charin Alvarez","After an accidental pregnancy turned abortion, a deadbeat nanny finds an unlikely friendship with the six-year old she's charged with protecting.",English,https://m.media-amazon.com/images/M/MV5BMWFkODE5NjctZjc1Ni00OTIwLWFjYjAtZTU2MDFkZDI1NmMxXkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_SX300.jpg,83,7.1,"$44,330",N/A
132,Corpus Christi,1997–,N/A,25 Mar 1997,52 min,"Documentary, History",N/A,N/A,"Christian Amphoux, Moshe Bar-Asher, Anath Benais",N/A,"French, German, English, Italian, Hebrew",https://m.media-amazon.com/images/M/MV5BYTllZmMxODktM2UzZC00Mzg0LWJlZTYtMzNjOTUzOGU1M2MwXkEyXkFqcGdeQXVyMTIyNjM0MTEx._V1_SX300.jpg,N/A,8.6,"$121,642",N/A
133,Archenemy,2020,Not Rated,11 Dec 2020,90 min,"Action, Adventure, Crime",Adam Egypt Mortimer,"Adam Egypt Mortimer, Luke Passmore","Jessica Allain, Mac Brandt, Skylan Brooks","Max Fist claims to be a hero from another dimension who fell through time and space to earth, where he has no powers. No one believes his stories except for a local teen named Hamster.",English,https://m.media-amazon.com/images/M/MV5BMzhlMTE0NjgtZjQ1Ni00MDRhLTg5NWItYTRjMTgzODE1MDk0XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,56,5.0,N/A,N/A
134,Gunda,1998,Not Rated,04 Sep 1998,129 min,"Action, Comedy, Crime",Kanti Shah,Bashir Babar,"Mithun Chakraborty, Mukesh Rishi, Mohan Joshi","When a coolie's family is murdered by a group of gangsters and politicians, he swears revenge on them.",Hindi,https://m.media-amazon.com/images/M/MV5BMzkzODkxNGUtYTA3MS00ZDVkLWFmYTgtMGM5YjViOGU0YjU0XkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,N/A,7.3,"$104,732",N/A
135,Hope Gap,2019,PG-13,08 May 2020,100 min,"Drama, Romance",William Nicholson,William Nicholson,"Annette Bening, Bill Nighy, Josh O'Connor",A couple's visit with their son takes a dramatic turn when the father tells him he plans on leaving his mother.,English,https://m.media-amazon.com/images/M/MV5BYmY0YmUzM2MtOTRhNS00MjA0LWJmMDctNWMzOTllNzk5ZDdiXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,58,6.7,"$101,339",N/A
136,Made in Italy,2020,R,07 Aug 2020,94 min,"Comedy, Drama, Romance",James D'Arcy,James D'Arcy,"Yolanda Kettle, Micheál Richardson, Souad Faress",A bohemian artist travels from London to Italy with his estranged son to sell the house he inherited from his late wife.,"English, Italian",https://m.media-amazon.com/images/M/MV5BYjIxNTk0MDEtNGE2Yy00MmRmLThmMjktZjU2ODI5OGQ3MTYwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,44,5.9,"$101,068",N/A
137,First Cow,2019,PG-13,10 Jul 2020,122 min,"Drama, Western",Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt","Alia Shawkat, John Magaro, Dylan Smith","A skilled cook has traveled west and joined a group of fur trappers in Oregon, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon the two collaborate on a successful business.","English, Russian",https://m.media-amazon.com/images/M/MV5BMGUzMGEzM2UtMDg2Ny00Yjk1LTgxMTctMWI1ZGM0ZDBiYjgxXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,89,7.1,"$100,746",N/A
138,The Silencing,2020,R,18 Jul 2020,93 min,"Action, Crime, Thriller",Robin Pront,Micah Ranum,"Nikolaj Coster-Waldau, Caleb Ellsworth-Clark, Josh Cruddas",A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,English,https://m.media-amazon.com/images/M/MV5BYjE2MjIwMmYtM2ZiMy00MzdmLTkyNTYtNmFiNjM5MDJhMGVmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,6.2,"$96,713",N/A
139,Come to Daddy,2019,R,07 Feb 2020,96 min,"Comedy, Horror, Mystery",Ant Timpson,"Toby Harvard, Ant Timpson","Elijah Wood, Stephen McHattie, Garfield Wilson",A man in his thirties travels to a remote cabin to reconnect with his estranged father.,English,https://m.media-amazon.com/images/M/MV5BMmMxNGVjZWQtNzc4NC00MzBkLTgzODItNWQzN2UzNWY0Zjc4XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg,64,6.0,"$93,147",N/A
140,Tesla,2020,PG-13,21 Aug 2020,102 min,"Biography, Drama",Michael Almereyda,Michael Almereyda,"Ethan Hawke, Eve Hewson, Eli A. Smith","A freewheeling take on visionary inventor Nikola Tesla, his interactions with Thomas Edison and J.P. Morgan's daughter Anne, and his breakthroughs in transmitting electrical power and light.",English,https://m.media-amazon.com/images/M/MV5BYzg0MjQ0ODUtYTgyNC00Y2Y5LWE5NDctODY3ZTFkYmZkNGFiXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,67,5.0,N/A,Warner Brothers/Seven Arts
141,First Lady,1937,Approved,04 Dec 1937,83 min,Comedy,Stanley Logan,"Rowland Leigh (screen play), George S. Kaufman (play), Katharine Dayton (play)","Kay Francis, Preston Foster, Anita Louise, Walter Connolly",As presidential election time approaches in Washington it is the women behind the scenes who seem to be making the decisions.,"English, Russian",https://m.media-amazon.com/images/M/MV5BNTBkNzJiZDUtYTU5Ni00NjNiLTg4NTYtMGQ3MTYzNDY3ZGY1XkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_SX300.jpg,N/A,6.2,"$80,490",N/A
142,StarDog and TurboCat,2019,PG,06 Dec 2019,90 min,"Animation, Comedy, Family",Ben Smith,Ben Smith,"Luke Evans, Nick Frost, Gemma Arterton",A loyal dog and a vigilante cat embark on a space age voyage to find their way home.,English,https://m.media-amazon.com/images/M/MV5BYzMzOTQwNzktOWVmYS00YTE2LWE2ZTItNmE4MTQ3OTVjNDVlXkEyXkFqcGdeQXVyMjMwODE4ODI@._V1_SX300.jpg,N/A,5.2,N/A,N/A
143,Percy,2020,PG-13,30 Apr 2021,99 min,"Biography, Drama",Clark Johnson,"Garfield Lindsay Miller, Hilary Pryor, Maureen Dorey","Christopher Walken, Roberta Maxwell, Christina Ricci",A Canadian farmer takes on a giant corporation after their GMOs interfere with his crops.,English,https://m.media-amazon.com/images/M/MV5BYTA4MDMwYzItMTNkYS00NjhhLTkwODUtNTE1ZDc0ZTUzMzdiXkEyXkFqcGdeQXVyNDAyMTY3OTM@._V1_SX300.jpg,56,6.4,"$72,347",N/A
144,Pray: The Story of Patrick Peyton,2020,PG,09 Oct 2020,71 min,Documentary,Jonathan Cipiti,"Matthew Donlan, Megan Harrington","Steve Gibson, Liam Gillard, David L. Guffey",Follows an Irish immigrant dreaming with becoming a millionaire but ending up championing a family message.,English,https://m.media-amazon.com/images/M/MV5BMmE0YTg5ZGItMDhmNC00YmM2LWFjNTYtYmZmZmRkNjJkN2FiXkEyXkFqcGdeQXVyNjM1MDIwMTU@._V1_SX300.jpg,N/A,7.6,"$70,632","Film 4, Monumental Pictures, Lionsgate"
145,How to Build a Girl,2019,R,08 May 2020,102 min,Comedy,Coky Giedroyc,Caitlin Moran,"Beanie Feldstein, Cleo, Dónal Finn","A teenager living with her working-class family on a council estate in Wolverhampton, England, grows up to become a popular but conflicted music journalist.",English,https://m.media-amazon.com/images/M/MV5BZGUyN2ZlMjYtZTk2Yy00MWZiLWIyMDktMzFlMmEzOWVlMGNiXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,69,5.9,"$60,794",N/A
146,We Summon the Darkness,2019,R,10 Apr 2020,91 min,"Horror, Music, Thriller",Marc Meyers,Alan Trezza,"Alexandra Daddario, Keean Johnson, Maddie Hasson","Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.",English,https://m.media-amazon.com/images/M/MV5BODQ4NDhmNTctZmMwMi00ZjI0LTlkNjEtMTRjOTA1N2JkODM1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,55,5.2,"$59,395",N/A
147,My Brothers' Crossing,2020,Not Rated,03 Sep 2020,98 min,Drama,Ricky Borba,Edna Janeen White,"Daniel Roebuck, James Black, Paul Ben-Victor","Based on the true story of a couple killed while riding a motorcycle (based on the book ""In The Blink of an Eye"") and the forgiveness of the man responsible for their deaths.",English,https://m.media-amazon.com/images/M/MV5BMjQ2ZDkwYzAtYmIwZC00OTdlLWE2MzQtZjQ4ZjRlZjU1MjQxXkEyXkFqcGdeQXVyOTg2MjgyMw@@._V1_SX300.jpg,N/A,4.4,"$58,498",N/A
148,Summerland,2020,PG,31 Jul 2020,99 min,"Drama, Romance, War",Jessica Swale,Jessica Swale,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton","During World War II, an Englishwoman opens her heart to an evacuee after initially resolving to be rid of him in this moving journey of womanhood, love and friendship.",English,https://m.media-amazon.com/images/M/MV5BN2IzNDI4ZjQtMDIwYy00MjcwLThjMTItYzc0ZGVjZThjNzAzXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,56,7.0,"$58,115",N/A
